Drug,KW_stat,p_value,p_fdr,significant_fdr
BARASERTIB (BRD:BRD-K31928526-001-02-1),5.948730579765069,0.05107984461156963,0.4494419719749212,False
TOPOTECAN (BRD:BRD-K55696337-003-24-4),5.936100131752298,0.05140344600465615,0.4494419719749212,False
RUBITECAN (BRD:BRD-K79821389-001-03-5),5.9097496706192345,0.05208517939334661,0.45242616610299113,False
NMS-1286937 (BRD:BRD-K83699324-001-01-1),5.868367346938783,0.0531741090298406,0.45805978214965754,False
CYT-997 (BRD:BRD-K23363278-001-02-1),5.859025032938078,0.05342307466756728,0.45805978214965754,False
BARICITINIB (BRD:BRD-K53581288-001-02-9),5.827404479578391,0.05427442053217988,0.4599468822388273,False
GANETESPIB (BRD:BRD-K38852836-001-02-1),5.825161045850706,0.054335335223096984,0.4599468822388273,False
CLONAZEPAM (BRD:BRD-K38183498-001-02-0),5.804875283446719,0.05488925650335265,0.46169507527187137,False
KW-2478 (BRD:BRD-K41213548-001-02-0),5.7621870882740325,0.05607341054518555,0.4636579055560188,False
KIFUNENSINE (BRD:BRD-K02898090-001-02-7),5.7601809954751175,0.056129682994959296,0.4636579055560188,False
HESPERADIN (BRD:BRD-K58122457-001-02-2),5.758771929824562,0.05616924213282094,0.4636579055560188,False
RO-9187 (BRD:BRD-K57284066-001-01-6),5.714756258234516,0.057419108571293676,0.46697906762924307,False
NICORANDIL (BRD:BRD-K97752965-001-16-4),5.7043795620437985,0.05771779306342207,0.46697906762924307,False
TG-100713 (BRD:BRD-K46392623-001-02-5),5.700922266139642,0.057817653094751946,0.46697906762924307,False
MIBEFRADIL (BRD:BRD-K09549677-300-03-4),5.683192080250894,0.05833249063282867,0.46697906762924307,False
PACLITAXEL (BRD:BRD-K62008436-001-23-9),5.628609321712773,0.05994638732115817,0.46697906762924307,False
AZD8931 (BRD:BRD-K98572433-001-02-9),5.626862026862028,0.059998782212099894,0.46697906762924307,False
GOLVATINIB (BRD:BRD-K69001009-001-02-8),5.626449412656314,0.06001116166397356,0.46697906762924307,False
CYPROHEPTADINE (BRD:BRD-K28143534-001-02-2),5.6176870748299175,0.06027465748828226,0.46697906762924307,False
FORODESINE (BRD:BRD-K16505263-003-02-9),5.6084656084656,0.06055320952268599,0.46697906762924307,False
TRIPTOLIDE (BRD:BRD-K39484304-001-16-5),5.604617604617616,0.060669826163658215,0.46697906762924307,False
