,ACH-000828,ACH-000117,ACH-000017,ACH-000554,ACH-000276,ACH-000818,ACH-000856,ACH-000223,ACH-000019,ACH-000330,ACH-000725,ACH-000643,ACH-000711,ACH-000248,ACH-000857,ACH-002499,ACH-000196,ACH-000258,ACH-000691,ACH-000374,ACH-000148,ACH-001705,ACH-001392,ACH-000876,ACH-000668,ACH-002921,ACH-001396,ACH-001419,ACH-001389,ACH-001683,ACH-002400,ACH-000568,ACH-000111,ACH-000621,ACH-000755,ACH-000028,ACH-000277,ACH-001394,ACH-000721,ACH-000902,ACH-000859,ACH-000927,ACH-000768,ACH-000349,ACH-001662,ACH-001393,ACH-000573,ACH-000783,ACH-000759,ACH-000910,ACH-000147,ACH-000930,ACH-000624,ACH-000699,ACH-000044,ACH-000352,ACH-001390,ACH-001388,ACH-001395,ACH-000536,ACH-000642,ACH-001819,ACH-002401,ACH-000212,ACH-000849,ACH-000097,ACH-000288,ACH-001820,ACH-002399,ACH-001391,ACH-000934
CHD6,4.8518538475,2.9609158039,2.6559677124,3.1628303528,5.0200176239,5.3607082367,4.1744861603,4.2724785805,4.4976763725,3.95591712,3.1221077442,3.5747554302,4.1337442398,3.8237900734,2.620382309,2.963793993,3.8708381653,2.5826187134,3.7105696201,3.5132379532,4.2804813385,3.1698303223,3.879254818,4.4655828476,2.8754656315,4.1609525681,3.4489221573,3.271500349,3.1663298607,2.9439849854,3.1676180363,3.7693061829,3.146689415,3.8778522015,3.2045712471,5.5891942978,6.4414720535,3.2949397564,3.4033126831,4.8465986252,3.6032998562,2.8849945068,3.629193306,4.1879262924,1.9821777344,2.1524496078,2.5979554653,3.9395086765,4.3670077324,3.5764615536,3.8727500439,5.0178375244,3.5895478725,4.3045110703,5.016269207,3.7627952099,2.2081832886,1.0804462433,3.1234295368,4.3058829308,3.752876997,3.3643805981,2.9397814274,3.9150619507,3.5020632744,4.4025859833,3.3587379456,3.210672617,2.9237310886,2.6946306229,4.1648426056
ZBP1,0.0725201964,0.1446050555,0.0,0.006236257,0.1419650316,0.146509245,0.0180316195,0.8556804061,0.1423690021,0.0129933748,0.2728975117,0.4405259788,0.0140424371,0.012033687,0.1005390584,0.5329851508,0.0556912795,0.0142538724,0.0137452334,0.3364090919,0.0,0.0,0.0,0.2165790349,0.7019082904,0.0,0.0,0.0,0.0,0.0,0.1901647598,0.0072270818,0.3819765747,0.1707916409,0.0,0.0743985623,0.0,0.0095936917,0.7786383629,0.0,0.6931769252,0.0,0.224032864,0.0048709619,0.0484887064,0.0,0.0069557498,0.0,0.0,0.0221760329,0.0,0.0,0.0,0.0152292158,0.0,0.0204616636,0.028414974,0.0,0.0360629857,0.0197104532,0.0426037163,0.0,0.2968426645,0.0378952436,0.0418625474,0.0546359643,0.0431344882,0.0,0.2139432132,0.0,0.1732566655
POF1B,0.2788721025,1.7842484713,1.7816030979,5.6572370529,3.0718741417,2.6436691284,0.1516951919,0.1238052323,3.6921036243,0.1506714523,2.081489563,1.2007051706,0.0371193141,3.23498106,0.0997355208,0.4495719373,0.175509274,3.3347170353,0.1102870628,1.6035397053,0.0,1.7635432482,1.197563529,3.7262427807,4.3147687912,1.9805518389,0.9157924056,2.1571149826,0.0,1.9317549467,0.1500734985,0.568153739,1.2134654522,0.3527065516,2.028781414,2.591823101,3.5580470562,1.0313951969,0.0168343112,0.6713685393,0.350179255,3.6592280865,0.0635222718,1.1821074486,0.4149819613,2.6305849552,0.0984101221,1.4815934896,2.1612589359,0.4558713734,1.212282896,1.3751006126,1.0776599646,0.1001434028,1.253021121,5.7351512909,0.0111220358,5.6019997597,2.84689641,0.0232823249,3.785885334,1.0916727781,0.7647155523,0.4092562199,0.3419971168,3.0915374756,0.0370940045,0.0,3.3060464859,1.2300124168,4.0741457939
USP9X,5.2763700485,5.8616800308,4.8318872452,4.2794342041,5.2745895386,5.6229920387,6.3101801872,5.7073702812,4.6275486946,5.590089798,5.3501367569,4.1383314133,5.1502876282,5.3727536201,4.6398630142,5.5511498451,3.4133286476,4.8014278412,4.5719132423,4.2076506615,5.3402986526,3.7823665142,2.6668112278,5.2555575371,4.464838028,4.7752242088,2.2386369705,3.3026378155,5.7528796196,4.3418717384,4.8362874985,3.9751532078,5.6026468277,6.6279993057,4.9071502686,5.2859535217,4.9794402122,3.8383972645,4.8397278786,5.0126981735,6.2622656822,5.2535357475,6.1142859459,4.6256914139,2.3028366566,3.9372313023,6.7510752678,4.844209671,5.0533242226,4.4161911011,4.7154211998,5.2129116058,4.1003470421,5.2761764526,1.3925591707,6.6325650215,3.5047984123,1.8311434984,3.5336506367,5.2672548294,5.9547638893,6.1536960602,4.9847717285,6.0649323463,5.3162903786,5.5235180855,5.5589227676,4.2176728249,5.1651120186,4.527864933,6.0526766777
COL21A1,0.0408363342,0.1141057834,0.0117346374,1.1343655586,0.4133211076,0.1023692265,0.5153067708,0.0,1.6988452673,0.3155882657,0.1486152709,0.0882542357,0.0152905993,0.0835646763,0.2916565835,0.0,0.0624671429,0.0382114016,0.0705981627,0.8851330876,0.5870845914,0.064551793,0.0,5.0169329643,0.1230688691,0.4323736727,0.0205740277,1.2656589746,0.2620602548,0.1505154818,1.7882095575,0.0,2.2332713604,1.7718771696,0.1318765432,0.0873148292,0.2757258415,0.2830256522,0.0229217019,0.0086876675,0.5004104972,0.0343058817,0.3533119857,2.7884998322,0.010428967,0.1836110055,0.0470511243,0.103121601,0.402694881,0.0,0.5138767362,0.159222275,0.2561785579,0.7083355784,0.7045506239,0.0225368422,0.0392071903,0.0399244651,0.1887984127,0.0121395551,0.1055319235,0.1780172586,1.0129476786,0.3279988468,0.5129044652,0.3467095792,2.1608910561,0.0,1.3253058195,0.2105372399,0.5542951226
RIOK1,3.8255922794,3.910982132,3.306507349,4.391919136,4.848367691,3.7005729675,4.5394382477,4.5161476135,4.1841454506,4.0426530838,4.445057869,3.1652011871,3.267788887,3.6309645176,4.2084236145,4.6394753456,5.1879220009,4.1544213295,4.3734951019,4.7222528458,4.6139678955,4.9500670433,2.8104450703,4.9098114967,4.6645054817,3.7168812752,3.9923605919,3.9499363899,4.07299757,3.9301412106,3.3072550297,2.6827845573,5.5261063576,4.2230825424,3.9567444324,3.4163141251,3.8935952187,4.7520418167,4.3974332809,4.0438871384,4.1422991753,4.1243610382,4.7058730125,3.8231072426,2.5186636448,3.0556955338,5.0164470673,5.0365781784,3.1074016094,4.5205984116,3.6739294529,5.3531751633,4.0367493629,5.153655529,4.507724762,3.4674620628,4.5296711922,1.5673799515,2.2932469845,4.3858108521,4.1971182823,4.5380043983,3.4943261147,4.748155117,5.6645340919,3.4967434406,4.8234333992,3.7406253815,3.777030468,5.6126151085,4.615357399
PHAF1,2.8776500225,3.6359169483,2.7833769321,4.1033129692,4.2082676888,4.4838094711,3.8851935863,3.8329508305,2.8630127907,3.8043529987,3.6266961098,2.6023762226,3.2128338814,2.9447290897,2.5606098175,5.21626091,3.7871084213,3.3009319305,3.2934720516,4.2233452797,2.8625962734,3.3116993904,2.3519730568,3.4690914154,4.2842922211,2.3546862602,3.454066515,2.976348877,4.0241866112,2.8268961906,3.2165386677,3.1254279613,3.7465276718,3.4613058567,2.9406404495,3.53733325,3.8531472683,4.0872168541,3.4208717346,3.3867433071,4.4260230064,3.7771251202,3.0352120399,4.1626291275,2.4598381519,3.9914901257,3.4040896893,4.3639421463,3.1899225712,4.3570098877,3.8608932495,3.091789484,2.9599277973,3.8334467411,2.7130842209,4.5808448792,3.5323793888,1.9554988146,2.3002583981,4.7219686508,3.1765892506,3.019292593,3.2866475582,3.2871103287,3.1320304871,3.6122698784,3.7110543251,3.4618821144,4.229572773,3.0746269226,4.3745875359
NUP85,4.693754673,4.8992238045,5.9053583145,5.0275745392,6.5829052925,5.6044154167,6.0518856049,5.5975875854,5.9481711388,5.6265792847,6.0122022629,5.5299210548,6.3737492561,5.3590641022,5.2912869453,6.0789384842,6.1765503883,5.9659781456,6.1758937836,7.3657011986,4.8421492577,4.6503453255,3.5921220779,5.3539338112,5.7736296654,5.6955928802,4.9529485703,5.5170235634,6.9213886261,4.2343401909,5.4994630814,5.9135813713,5.6526041031,7.1882328987,7.5731019974,5.9185914993,5.7594432831,5.2463736534,5.9589910507,5.9484305382,6.0055570602,5.1141295433,6.2568745613,6.8812851906,4.7827858925,4.3574814796,5.5962018967,5.8651442528,5.1833395958,7.6203737259,6.5802931786,5.9401926994,5.348897934,6.4054989815,5.643143177,6.3971834183,4.9709134102,2.1652655602,3.372674942,5.4773731232,5.6010723114,5.1393303871,5.3162398338,6.3712363243,6.2339396477,6.6737117767,5.625787735,5.7964367867,5.4846796989,4.8198113441,6.7244458199
POLR1B,4.106071949,4.1838040352,4.4750266075,4.7494859695,3.8319582939,3.9452238083,4.8298392296,3.8462626934,4.461502552,4.5129094124,4.7770619392,2.6303145885,5.2009477615,5.4424958229,2.6434197426,5.8780360222,5.4661831856,4.0738887787,5.3676261902,4.8776512146,3.1606442928,4.7773880959,3.3373999596,3.0820126534,3.693955183,4.6566739082,3.7013716698,3.1802401543,4.6192016602,3.6335010529,4.1537241936,3.7438702583,4.1076712608,3.3288724422,4.7562599182,4.2244262695,3.6953368187,4.7983150482,4.9491753578,3.9066500664,5.4370346069,4.7084302902,4.0906248093,4.6235976219,2.1345889568,4.2154765129,5.1215252876,4.8075919151,3.4638578892,4.2346162796,3.8499791622,4.5372524261,3.0897710323,2.8650021553,3.657422781,4.6428747177,4.4713368416,0.9888439178,3.0156652927,4.4833903313,4.4161100388,4.0604538918,4.6802625656,4.7227172852,4.5228404999,3.1999409199,3.9515037537,5.7330884933,4.3029260635,5.5145483017,4.506354332
CLPP,5.7698378563,5.8602552414,6.1031975746,5.5847010612,6.062037468,5.2930798531,6.0922899246,6.2396140099,5.5019359589,5.8694963455,6.1555709839,4.4178390503,5.837085247,5.6736159325,5.1389660835,6.145652771,6.3362512589,6.3865094185,6.4956598282,5.6697554588,6.3114066124,5.0028238297,5.5079784393,5.411883831,4.7328391075,6.3685622215,5.7731232643,5.508954525,5.5401759148,5.2257184982,4.7569327354,5.5709457397,6.2430119514,6.8433556557,6.0192437172,5.7396941185,6.3143649101,4.6138496399,6.1364579201,6.739051342,5.7339482307,5.5218892097,6.4544820786,6.3736481667,3.5479433537,4.611597538,5.7521867752,6.4668879509,5.985370636,6.3678359985,5.2085447311,6.5682296753,5.5749554634,5.5378675461,6.4268164635,5.2733740807,6.0566225052,2.7996697426,4.9488391876,5.8199901581,5.048558712,6.1498122215,4.752427578,6.4258770943,5.8585429192,6.0140919685,6.4664378166,5.059472084,4.8752541542,5.2724862099,5.9575314522
OPA3,2.9449295998,3.6809544563,3.0535788536,2.6518371105,4.0957808495,2.4270133972,3.0750379562,3.4555046558,3.0776872635,2.8085188866,2.4115021229,2.2591850758,3.7439672947,2.936860323,2.5350177288,3.2323322296,2.2279412746,2.7533798218,2.531226635,3.6583142281,2.9583749771,2.6010308266,1.9827800989,3.1532685757,3.8430793285,3.0101783276,2.7127146721,2.1729547977,2.4388623238,2.4756219387,3.0380198956,2.1174190044,3.4758241177,2.1494188309,2.6606068611,3.1551711559,3.1297397614,2.2670352459,2.7413568497,3.2597877979,3.6965613365,3.1367065907,3.3766431808,2.9869933128,1.9844288826,2.0887725353,3.3511378765,3.0949437618,2.7001843452,2.8306245804,2.5197908878,2.891469717,2.4627277851,3.2782137394,2.2015271187,3.5633046627,1.7490621805,0.6147880554,1.0444710255,4.0897016525,2.6987473965,1.6676832438,3.0998959541,3.355275631,3.4410464764,2.9489221573,3.7047281265,2.9233050346,3.0274567604,2.6705095768,2.7218604088
SYMPK,5.1223373413,6.354575634,4.7199444771,4.4633283615,6.1814484596,5.1152663231,5.8373656273,5.6800909042,5.1534771919,5.9150929451,5.0860404968,4.5491762161,5.2796754837,5.0046544075,4.4553732872,5.3789000511,4.4581127167,5.5784435272,4.7198405266,5.6829018593,5.5041947365,4.6509714127,6.2130947113,5.5770149231,5.5935897827,5.9649600983,6.8274254799,5.3420853615,4.3062186241,4.7953615189,5.0535416603,6.2287802696,5.0998883247,4.4351019859,4.5556507111,5.3422489166,5.5555801392,5.00446558,5.5489974022,5.7360582352,5.5546226501,5.3970942497,5.7644896507,5.2789287567,7.4093737602,4.4922184944,4.3279533386,5.0234684944,5.0357866287,5.7046976089,5.3378396034,4.8761191368,4.3678321838,4.7500491142,5.5792584419,6.6243419647,5.1267085075,4.0050945282,3.9332420826,5.6823740005,5.5856084824,3.7875683308,5.1571002007,5.5843882561,5.6585540771,5.1140961647,5.2137556076,4.9146265984,4.7670350075,4.6438736916,5.7762856483
PANK2,4.6397356987,3.3525989056,5.234662056,3.6158518791,6.1974959373,4.7998075485,4.5039973259,5.6581201553,3.9848992825,4.8724989891,4.4854974747,3.5864405632,4.589553833,5.0495653152,4.3671751022,4.9942808151,3.9056684971,5.2553458214,4.6367058754,5.6169400215,4.9929223061,4.0285339355,4.3267674446,4.8782739639,4.8721246719,4.8106899261,4.0074558258,4.5078644753,4.8735771179,4.0109944344,4.4057064056,3.6150043011,5.7147068977,5.044564724,4.1153411865,3.8681237698,4.2537546158,4.5047855377,4.1493000984,5.0299344063,5.3208999634,5.2105293274,5.1720714569,3.9283323288,2.3030149937,4.2954072952,4.4715452194,4.6154985428,5.3152728081,4.2937164307,4.4688897133,5.5293431282,3.7683644295,4.6817584038,3.8871645927,2.8881335258,4.5294837952,2.3276386261,3.8397278786,5.6956486702,4.5804109573,4.3759150505,4.5988893509,4.5075221062,5.4158058167,3.7390596867,5.3303289413,5.5490560532,4.5916018486,4.1075119972,4.8335022926
DEFB126,0.0,0.0,0.174783498,0.0,0.4347344339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198225081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218774468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366346568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215864301,0.1248310059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866030753,0.0,0.9047761559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRSN2,3.609814167,3.3932664394,2.8788743019,1.0448276997,6.4164428711,5.8236474991,4.4336004257,3.8709466457,4.7048664093,4.8213734627,5.3964986801,2.7884120941,3.4188039303,0.9178907275,3.8733506203,5.8833203316,1.7989629507,5.7835063934,4.8661808968,4.6514649391,5.5691051483,0.7230796814,6.2345528603,5.059943676,4.9154825211,5.7779116631,5.8289160728,1.555232048,4.6797895432,5.1531405449,4.302626133,4.5514297485,5.0822982788,5.4465174675,2.5668931007,4.0523896217,2.856836319,3.532977581,5.1971578598,5.7687716484,3.4360473156,4.9722471237,5.1734070778,4.1620974541,5.641887188,3.3206753731,5.4581818581,4.9276027679,4.4604411125,5.0282330513,5.1490316391,6.5421681404,2.4290776253,5.0816760063,4.3392658234,3.3485553265,2.8004734516,0.1279858202,5.6282367706,0.2836124599,4.532977581,4.4580931664,3.5114173889,5.5606293678,4.9993057251,3.6583714485,6.3181757927,5.529399395,2.9258949757,2.7113230228,4.7950553894
MKKS,4.9199309349,4.0837578773,5.9651193619,3.9170210361,5.155441761,4.5905542374,5.0889596939,5.1343770027,5.5302705765,5.0767216682,4.7254195213,2.6082935333,4.6002817154,5.9603681564,4.46048069,5.6089925766,3.9856188297,5.2436461449,3.9923877716,6.0477609634,3.9328360558,5.2891187668,3.7718117237,4.7232470512,4.5142168999,4.7233672142,4.9547219276,4.9580721855,4.6858730316,5.3943595886,4.5728349686,5.3660597801,4.6854915619,5.0470585823,4.933265686,5.1047434807,4.1131753922,4.7857022285,3.9357709885,5.3437595367,5.5534095764,5.3997454643,5.2425756454,4.5070967674,3.372333765,5.0273308754,4.6021895409,5.1561779976,4.6799416542,5.1210360527,4.7139539719,5.5890803337,3.1087167263,4.9271097183,4.8611860275,3.2215058804,6.3770298958,2.7482378483,5.0192747116,4.2484512329,4.4126391411,3.8352167606,3.8490784168,4.845615387,4.9633541107,4.8860526085,5.1796226501,5.5692420006,4.5629382133,5.0287017822,4.6540746689
FAM110A,4.2997283936,4.2386035919,6.2294244766,4.872897625,6.1243839264,6.4608836174,3.2038619518,5.50116539,4.172703743,5.726626873,5.0216350555,2.3913497925,4.2888088226,5.7658395767,3.4690914154,3.8900380135,2.7455406189,4.6062645912,4.5057196617,4.9011659622,2.3801255226,4.1500315666,5.8532271385,4.8626050949,4.155538559,4.5509438515,4.9603123665,5.2117986679,2.2962460518,4.6778240204,2.9960794449,5.4781889915,4.3503627777,3.1476843357,5.7977676392,3.6220870018,4.816092968,3.3129222393,1.6080616713,5.9885144234,4.9405002594,5.1145167351,3.0491080284,3.8307723999,4.2321925163,4.6325416565,3.4698078632,4.6683292389,5.8902812004,6.3726301193,5.1128211021,4.9897522926,2.788506031,3.8332343102,4.3556575775,2.6734275818,3.0117943287,2.4661102295,5.6484193802,5.4310779572,4.4625630379,5.0319595337,3.7711565495,2.6780245304,4.8948712349,4.53444767,3.7288348675,4.5040612221,4.0125956535,2.5186383724,5.0148015022
